Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
fulfillment center los angeles california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,8,Above average,Average,Above average,USD,0.00,7,0,0.00,37.50%,25.00%,16.67%,83.33%
3pl cosmetics,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,8,Above average,Average,Above average,USD,0.00,1,0,0.00,50.00%,50.00%,0.00%,100.00%
clothing 3pl,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,8,Above average,Average,Above average,USD,236.54,132,8,1.00,38.55%,55.02%,26.04%,92.71%
skincare 3pl,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Skincare Fulfillment,7,Above average,Below average,Above average,USD,0.00,3,0,0.00,100.00%,0.00%,0.00%,100.00%
ecommerce fulfillment new jersey,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,7,Average,Average,Above average,USD,349.21,544,52,1.00,19.29%,54.46%,31.00%,83.02%
t shirt fulfillment,Eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM,Shirt Fulfillment,7,Above average,Below average,Above average,USD,145.52,53,9,0.00,34.65%,48.82%,38.64%,97.73%
t shirt fulfillment services,Eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM,Shirt Fulfillment,7,Above average,Below average,Above average,USD,56.37,34,4,0.00,27.47%,42.86%,64.00%,96.00%
t shirt fulfillment companies,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Shirt Fulfillment,7,Above average,Below average,Above average,USD,796.18,"1,220",80,0.00,18.87%,65.05%,39.96%,89.34%
california 3pl,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,7,Above average,Average,Average,USD,829.04,465,29,0.00,18.84%,50.55%,25.52%,87.59%
fulfilment companies near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,6,Below average,Average,Above average,USD,0.00,1,0,0.00,100.00%,0.00%,0.00%,100.00%
3pl warehouse los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,6,Average,Below average,Above average,USD,0.00,4,0,0.00,22.22%,66.67%,25.00%,75.00%
3pl warehouse in california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,6,Average,Average,Average,USD,238.55,338,16,0.00,10.58%,58.06%,33.93%,82.14%
3pl new york,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New York Fulfillment,5,Above average,Below average,Average,USD,483.99,651,25,0.00,21.85%,52.52%,17.55%,88.30%
fulfillment center new york,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New York Fulfillment,5,Above average,Below average,Average,USD,871.83,754,60,0.00,21.26%,52.70%,25.63%,81.73%
3rd party logistics los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,5,Above average,Below average,Average,USD,0.00,1,0,0.00,13.33%,66.67%,0.00%,100.00%
la 3pl,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,5,Above average,Below average,Average,USD,0.00,2,0,0.00,28.57%,71.43%,50.00%,50.00%
apparel fulfillment services,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,5,Above average,Below average,Average,USD,404.62,238,22,0.00,22.31%,60.48%,34.94%,85.54%
3pl warehouse for amazon sellers,Eligible,Exact match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Amazon Fulfillment,5,Below average,Below average,Above average,USD,0.00,2,0,0.00,20.00%,80.00%,0.00%,100.00%
cosmetics 3pl,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,5,Above average,Below average,Average,USD,412.61,74,10,0.00,42.72%,50.49%,34.09%,90.91%
fulfillment center new jersey,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,5,Above average,Below average,Average,USD,219.24,329,25,0.00,15.46%,55.51%,27.03%,77.30%
clothing fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,5,Above average,Below average,Average,USD,947.12,671,47,2.00,18.42%,65.52%,33.11%,82.66%
fulfillment center california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,5,Above average,Average,Below average,USD,182.44,274,19,0.00,14.24%,58.41%,30.40%,82.40%
3pl warehouse california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,5,Above average,Average,Below average,USD,4.69,41,2,0.00,13.70%,58.90%,27.78%,72.22%
3pl ca,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,5,Above average,Average,Below average,USD,177.67,246,9,0.00,10.20%,58.50%,23.29%,79.45%
footwear 3pl,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Shoe Fulfillment,4,Average,Below average,Average,USD,23.85,17,1,0.00,38.46%,46.15%,13.33%,86.67%
3pl companies in new jersey,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,4,Average,Below average,Average,USD,95.97,81,4,0.00,18.75%,52.08%,33.33%,77.78%
ecommerce fulfillment services,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,"Ecommerce Fulfillment Services, Companies",4,Average,Average,Below average,USD,0.00,4,0,0.00,< 10%,67.42%,0.00%,0.00%
clothing fulfillment companies,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,4,Average,Below average,Average,USD,0.00,28,0,0.00,47.06%,52.94%,46.67%,100.00%
3pl for clothing,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Clothing Fulfillment,4,Average,Below average,Average,USD,146.94,84,3,0.00,36.43%,52.86%,33.33%,94.12%
fulfillment warehouse near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,4,Average,Below average,Average,USD,0.00,9,0,0.00,30.77%,61.54%,0.00%,100.00%
ecommerce fulfillment center near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,4,Average,Average,Below average,USD,55.97,98,5,0.00,13.21%,60.38%,27.66%,72.34%
pick and pack fulfillment center,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack,3,Below average,Below average,Average,USD,85.15,76,6,0.00,< 10%,71.17%,17.46%,58.73%
b2b fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment,3,Above average,Below average,Below average,USD,16.05,8,1,0.00,12.00%,64.00%,0.00%,50.00%
3pl companies near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Below average,Below average,Average,USD,38.99,26,3,0.00,16.00%,56.00%,41.67%,100.00%
3pl near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Below average,Average,Below average,USD,0.00,36,0,0.00,14.06%,57.81%,11.11%,66.67%
fulfillment companies near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me,3,Below average,Average,Below average,USD,0.00,4,0,0.00,36.36%,54.55%,25.00%,100.00%
shoe fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Shoe Fulfillment,3,Above average,Below average,Below average,USD,16.15,21,2,0.00,22.22%,61.73%,29.41%,70.59%
3pl services,Eligible,Exact match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,3,Above average,Below average,Below average,USD,136.89,613,8,0.00,< 10%,63.65%,18.81%,72.86%
fulfillment 3pl,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL,3,Above average,Below average,Below average,USD,147.51,263,8,0.00,< 10%,68.68%,14.57%,64.90%
los angeles fulfillment,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,3,Above average,Below average,Below average,USD,129.44,22,3,0.00,12.43%,50.89%,25.00%,95.00%
fulfillment warehouse los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,3,Above average,Below average,Below average,USD,47.43,7,1,0.00,21.05%,44.74%,0.00%,100.00%
los angeles 3pl,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,3,Above average,Below average,Below average,USD,299.35,36,6,0.00,14.40%,46.91%,25.71%,85.71%
los angeles fulfillment warehouse,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment,3,Above average,Below average,Below average,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
apparel fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,3,Above average,Below average,Below average,USD,186.16,192,10,0.00,21.48%,61.65%,32.45%,80.13%
apparel fulfillment center,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,3,Above average,Below average,Below average,USD,0.00,3,0,0.00,< 10%,68.57%,0.00%,100.00%
apparel fulfillment company,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,3,Above average,Below average,Below average,USD,66.48,23,1,0.00,12.79%,72.09%,45.45%,81.82%
3pl apparel fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Apparel Fulfillment,3,Above average,Below average,Below average,USD,0.00,29,0,0.00,32.88%,46.58%,33.33%,91.67%
skincare fulfillment,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Skincare Fulfillment,3,Above average,Below average,Below average,USD,28.54,21,1,0.00,35.42%,50.00%,17.65%,88.24%
cosmetics fulfillment,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,3,Above average,Below average,Below average,USD,15.87,42,2,0.00,32.91%,63.29%,26.92%,84.62%
cosmetics fulfillment services,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,3,Above average,Below average,Below average,USD,40.85,51,1,0.00,26.76%,66.90%,29.73%,67.57%
cosmetics fulfilment,Eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,Cosmetics Fulfillment,3,Above average,Below average,Below average,USD,0.00,10,0,0.00,26.32%,57.89%,20.00%,80.00%
3pl warehouse new jersey,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,3,Above average,Below average,Below average,USD,78.13,80,4,0.00,16.92%,50.00%,31.82%,86.36%
new jersey 3pl warehouse,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,New Jersey Fulfillment,3,Above average,Below average,Below average,USD,786.79,627,56,0.00,12.41%,56.93%,27.50%,85.75%
omnichannel fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Omnichannel Fulfillment,3,Above average,Below average,Below average,USD,0.00,1,0,0.00,< 10%,63.92%,100.00%,100.00%
